,Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Duration_Years,Number_of_Open_Accounts,Had_Past_Default,Loan_Approval
157,19.0,191708.0,512.0,5087.0,4,6.0,1,0
158,20.0,194500.0,648.0,35320.0,22,1.0,0,1
159,36.0,191228.0,421.0,43969.0,18,6.0,1,0
160,52.0,47096.0,407.0,42390.0,16,12.0,0,1
161,51.0,121410.0,632.0,25975.0,2,2.0,0,1
162,34.0,120135.0,340.0,31867.0,7,2.0,0,1
163,36.0,48849.0,524.0,6519.0,16,1.0,0,0
164,60.0,90135.0,633.0,19278.0,7,14.0,1,1
165,20.0,57374.0,468.0,35873.0,3,8.0,1,1
166,18.0,167406.0,814.0,12347.0,2,1.0,0,1
167,33.0,80110.0,779.0,48750.0,20,2.0,1,1
168,52.0,142504.0,333.0,27467.0,24,2.0,1,1
169,49.0,194188.0,812.0,5938.0,1,4.0,1,1
170,59.0,131241.0,627.0,16057.0,29,10.0,1,0
171,56.0,167066.0,316.0,35017.0,25,7.0,1,0
172,67.0,168762.0,482.0,20128.0,14,13.0,0,1
173,57.0,64535.0,474.0,22180.0,26,10.0,0,1
174,66.0,163223.0,500.0,24576.0,8,1.0,1,0
175,41.0,90726.0,837.0,47165.0,25,6.0,0,1
176,59.0,68979.0,597.0,28499.0,20,9.0,1,0
177,42.0,64238.0,390.0,15747.0,25,4.0,1,0
178,34.0,32503.0,456.0,10612.0,1,12.0,0,1
179,48.0,185687.0,332.0,6768.0,14,3.0,0,1
180,67.0,67395.0,465.0,46300.0,27,13.0,1,1
181,66.0,65286.0,650.0,21338.0,24,10.0,1,0
182,22.0,184936.0,673.0,6730.0,12,4.0,1,1
183,64.0,70252.0,642.0,24652.0,28,3.0,1,1
184,44.0,65990.0,655.0,29365.0,7,3.0,0,1
185,29.0,175440.0,425.0,19394.0,25,4.0,0,1
186,51.0,109021.0,471.0,16704.0,1,14.0,0,1
187,18.0,127816.0,520.0,47398.0,25,7.0,1,0
188,28.0,132044.0,471.0,,13,6.0,0,0
189,65.0,77909.0,590.0,33320.0,3,14.0,1,0
190,57.0,56346.0,568.0,31650.0,17,2.0,0,0
191,25.0,117297.0,687.0,,25,14.0,1,0
192,56.0,65955.0,643.0,15673.0,3,6.0,0,0
193,28.0,139849.0,423.0,,23,3.0,0,1
194,54.0,161539.0,377.0,31439.0,8,7.0,1,1
195,67.0,197320.0,,9062.0,11,3.0,0,1
196,61.0,149065.0,485.0,25600.0,9,7.0,0,1
197,38.0,135691.0,505.0,44913.0,25,6.0,0,0
198,54.0,78339.0,362.0,49524.0,17,10.0,1,0
199,66.0,118220.0,723.0,46392.0,14,14.0,1,0
200,24.0,176195.0,806.0,12593.0,1,1.0,1,1
201,67.0,42458.0,469.0,31670.0,26,11.0,1,0
202,32.0,174981.0,439.0,28203.0,2,14.0,1,1
203,51.0,150149.0,599.0,6304.0,28,2.0,1,1
204,32.0,135253.0,344.0,47709.0,12,8.0,1,1
205,19.0,83030.0,647.0,25354.0,29,1.0,0,0
206,30.0,105525.0,416.0,37997.0,14,5.0,0,1
207,62.0,150846.0,764.0,8742.0,12,13.0,1,1
208,42.0,113891.0,,49272.0,3,8.0,1,0
209,53.0,,688.0,46286.0,8,4.0,1,0
210,59.0,105572.0,456.0,23210.0,15,9.0,1,0
211,64.0,145052.0,574.0,32354.0,23,13.0,0,0
212,48.0,169039.0,767.0,45704.0,5,8.0,0,1
213,30.0,50210.0,748.0,19059.0,9,6.0,0,1
214,20.0,193427.0,623.0,10762.0,24,4.0,0,1
215,36.0,120224.0,311.0,42784.0,6,4.0,1,0
216,31.0,178317.0,397.0,27018.0,23,1.0,0,0
217,22.0,144148.0,809.0,36027.0,17,7.0,0,0
218,57.0,89008.0,765.0,34962.0,22,5.0,1,1
219,20.0,125325.0,388.0,47438.0,26,5.0,0,1
220,63.0,121892.0,811.0,45166.0,22,5.0,1,0
221,19.0,141735.0,417.0,48193.0,18,12.0,1,1
222,65.0,145615.0,744.0,6701.0,10,7.0,0,0
223,,35931.0,373.0,34664.0,6,7.0,1,1
224,34.0,54905.0,397.0,42263.0,16,9.0,1,0
225,43.0,180729.0,519.0,15743.0,4,4.0,0,0
226,57.0,126975.0,418.0,39524.0,1,12.0,0,1
227,18.0,139756.0,,6827.0,6,9.0,1,0
228,54.0,144957.0,822.0,13741.0,2,14.0,0,1
229,53.0,64314.0,601.0,46569.0,24,11.0,0,1
230,24.0,61440.0,748.0,38477.0,13,1.0,0,1
231,37.0,180110.0,324.0,31560.0,18,14.0,1,1
232,54.0,133043.0,791.0,10421.0,22,3.0,1,1
233,67.0,52986.0,434.0,16620.0,5,8.0,1,0
234,26.0,173957.0,433.0,46065.0,22,2.0,0,1
235,64.0,122092.0,582.0,25103.0,26,8.0,0,1
236,62.0,158769.0,525.0,43495.0,15,3.0,1,1
237,64.0,93072.0,674.0,28282.0,11,9.0,1,1
238,21.0,171856.0,792.0,29850.0,16,12.0,1,1
239,45.0,190885.0,335.0,34217.0,17,3.0,0,1
240,46.0,120325.0,648.0,32987.0,26,3.0,0,0
241,26.0,117294.0,738.0,9162.0,9,5.0,0,0
242,42.0,147356.0,738.0,36207.0,9,14.0,1,1
243,48.0,165107.0,508.0,33953.0,8,7.0,0,1
244,64.0,64550.0,,29462.0,11,1.0,0,1
245,28.0,113186.0,536.0,13217.0,6,8.0,0,0
246,30.0,73142.0,383.0,25551.0,10,1.0,1,1
247,39.0,193969.0,503.0,,25,9.0,0,1
248,21.0,175717.0,324.0,43987.0,3,9.0,0,0
249,28.0,108355.0,,29208.0,16,3.0,1,1
250,52.0,182826.0,653.0,17234.0,26,12.0,1,0
251,30.0,43174.0,438.0,38559.0,22,6.0,0,1
252,67.0,98452.0,756.0,44578.0,6,2.0,1,0
253,49.0,74287.0,451.0,29862.0,2,4.0,0,1
254,41.0,102376.0,413.0,42315.0,18,8.0,1,1
255,43.0,192682.0,667.0,17431.0,20,5.0,1,0
256,,62841.0,507.0,29791.0,22,8.0,0,1
257,68.0,160167.0,440.0,36354.0,7,5.0,1,1
258,39.0,34998.0,485.0,39156.0,9,10.0,0,0
259,62.0,161242.0,800.0,18782.0,9,11.0,1,0
260,50.0,106411.0,448.0,40365.0,11,7.0,1,0
261,44.0,129134.0,365.0,21039.0,4,2.0,0,1
262,31.0,84902.0,407.0,35677.0,9,11.0,0,1
263,37.0,81167.0,588.0,13818.0,2,2.0,1,1
264,54.0,53458.0,410.0,47692.0,18,9.0,1,1
265,,36248.0,716.0,34311.0,15,6.0,0,0
266,50.0,,785.0,11561.0,14,,0,1
267,18.0,129911.0,561.0,44717.0,7,9.0,0,1
268,58.0,58052.0,699.0,9213.0,25,12.0,0,1
269,33.0,38809.0,680.0,9023.0,2,7.0,1,0
270,57.0,182711.0,505.0,34981.0,2,11.0,0,0
271,53.0,117223.0,422.0,31671.0,5,9.0,0,1
272,20.0,126577.0,620.0,21065.0,6,14.0,1,0
273,44.0,80675.0,587.0,42829.0,15,3.0,1,1
274,58.0,142317.0,554.0,49024.0,8,8.0,1,0
275,42.0,85369.0,840.0,24426.0,23,5.0,0,1
276,68.0,72637.0,821.0,5252.0,15,7.0,0,0
277,58.0,139533.0,459.0,6239.0,17,12.0,1,1
278,30.0,121626.0,317.0,44581.0,17,2.0,1,0
279,44.0,39559.0,336.0,14132.0,20,3.0,1,0
280,57.0,195524.0,422.0,11501.0,25,6.0,1,0
281,64.0,193390.0,455.0,22818.0,17,2.0,1,1
282,63.0,112589.0,567.0,28636.0,7,1.0,0,0
283,64.0,63821.0,409.0,6545.0,26,12.0,0,0
284,25.0,126283.0,696.0,19729.0,22,9.0,1,0
285,58.0,95085.0,730.0,14953.0,22,9.0,0,1
286,43.0,50407.0,793.0,49926.0,23,3.0,0,0
287,26.0,196586.0,475.0,49462.0,23,3.0,0,0
288,,136878.0,578.0,31415.0,29,10.0,1,1
289,25.0,89075.0,674.0,6129.0,25,2.0,1,1
290,69.0,141378.0,386.0,21944.0,17,5.0,0,0
291,53.0,34939.0,364.0,37236.0,6,10.0,1,1
292,36.0,180552.0,475.0,38608.0,25,4.0,0,1
293,68.0,138775.0,447.0,17797.0,19,2.0,1,0
294,63.0,92052.0,338.0,,1,12.0,1,0
295,55.0,130511.0,655.0,35291.0,16,8.0,0,0
296,28.0,124991.0,790.0,14171.0,22,9.0,0,0
297,24.0,174447.0,431.0,,18,12.0,0,1
298,54.0,142140.0,,21368.0,22,8.0,1,1
299,46.0,45748.0,808.0,16220.0,2,3.0,1,0
300,46.0,57929.0,615.0,9104.0,17,1.0,1,0
301,28.0,149977.0,511.0,40040.0,2,3.0,1,1
302,28.0,195113.0,712.0,35993.0,12,5.0,0,1
303,36.0,117877.0,515.0,18196.0,15,4.0,0,1
304,62.0,91132.0,446.0,48588.0,26,13.0,0,1
305,57.0,41300.0,527.0,23128.0,2,8.0,0,1
306,58.0,140254.0,552.0,30547.0,29,13.0,1,1
307,43.0,120667.0,343.0,30106.0,19,2.0,1,1
308,50.0,135365.0,,33625.0,18,4.0,0,0
309,53.0,88717.0,843.0,28496.0,5,1.0,0,1
310,,58484.0,375.0,19650.0,9,13.0,0,1
311,54.0,179968.0,415.0,34579.0,5,12.0,0,0
312,40.0,192669.0,780.0,24782.0,2,7.0,0,1
313,48.0,188985.0,698.0,45806.0,12,5.0,1,1
314,35.0,52981.0,302.0,41836.0,8,10.0,0,1
315,60.0,100064.0,833.0,34071.0,6,4.0,0,1
316,26.0,140091.0,403.0,31370.0,7,8.0,0,1
317,,83405.0,528.0,15632.0,13,5.0,1,0
318,41.0,181316.0,386.0,43058.0,15,1.0,1,1
319,61.0,30446.0,613.0,8103.0,10,1.0,1,0
320,66.0,87327.0,757.0,21060.0,14,13.0,0,1
321,38.0,159334.0,323.0,21363.0,6,2.0,0,0
322,48.0,123756.0,524.0,10742.0,6,6.0,0,1
323,30.0,,667.0,26138.0,4,14.0,1,1
324,59.0,191348.0,527.0,,26,12.0,1,0
325,58.0,199407.0,443.0,10940.0,8,8.0,0,0
326,34.0,113783.0,701.0,46610.0,12,2.0,0,1
327,50.0,42034.0,,49336.0,5,1.0,0,0
328,35.0,81704.0,607.0,20845.0,26,4.0,1,0
329,48.0,173358.0,390.0,14979.0,28,6.0,1,0
330,48.0,189875.0,704.0,24319.0,26,8.0,1,1
331,48.0,174336.0,692.0,49201.0,23,1.0,1,0
332,28.0,179861.0,491.0,10122.0,15,4.0,1,0
333,56.0,142940.0,,31249.0,14,4.0,0,1
334,37.0,192985.0,682.0,7614.0,5,3.0,1,0
335,67.0,185365.0,609.0,7509.0,3,12.0,0,1
336,63.0,158802.0,352.0,6089.0,4,4.0,0,0
337,55.0,46274.0,709.0,41921.0,29,13.0,0,0
338,,165229.0,344.0,8100.0,19,13.0,0,0
339,23.0,113293.0,628.0,29857.0,5,9.0,0,1
340,61.0,56547.0,,49935.0,19,11.0,1,0
341,53.0,145128.0,,19075.0,18,12.0,0,1
342,47.0,198991.0,809.0,47006.0,18,13.0,1,0
343,46.0,194733.0,817.0,17076.0,20,9.0,0,0
344,18.0,60764.0,347.0,24550.0,12,1.0,1,1
345,28.0,59216.0,799.0,5523.0,11,6.0,1,1
346,41.0,123396.0,385.0,46272.0,29,2.0,0,0
347,43.0,170987.0,525.0,34733.0,15,4.0,0,1
348,32.0,69353.0,301.0,22872.0,22,12.0,1,0
349,36.0,35351.0,653.0,16346.0,28,8.0,0,1
350,60.0,62066.0,602.0,49817.0,11,13.0,0,1
351,62.0,130888.0,691.0,37797.0,29,3.0,0,1
352,54.0,161207.0,778.0,6286.0,27,9.0,1,1
353,67.0,48377.0,838.0,31408.0,15,4.0,1,1
354,65.0,77844.0,833.0,25210.0,24,8.0,1,1
355,60.0,59642.0,827.0,24319.0,10,10.0,1,1
356,60.0,42363.0,572.0,29573.0,5,10.0,0,0
357,29.0,189102.0,446.0,6318.0,7,11.0,1,1
358,51.0,146553.0,529.0,37596.0,25,5.0,1,0
359,32.0,161621.0,598.0,40806.0,14,2.0,0,0
360,48.0,96667.0,364.0,42522.0,8,10.0,1,1
361,45.0,40038.0,410.0,47488.0,7,5.0,1,1
362,,55489.0,778.0,21440.0,5,7.0,0,1
363,21.0,126262.0,757.0,45539.0,13,11.0,0,0
364,50.0,106730.0,411.0,44970.0,16,8.0,0,1
365,25.0,140478.0,669.0,10458.0,7,1.0,1,1
366,,98779.0,655.0,9215.0,3,10.0,0,1
367,64.0,139603.0,694.0,41041.0,13,5.0,1,1
368,38.0,31311.0,808.0,36858.0,4,6.0,0,0
369,61.0,75003.0,375.0,18079.0,5,10.0,1,0
370,55.0,195142.0,768.0,45623.0,13,3.0,1,1
371,18.0,51995.0,346.0,33663.0,2,6.0,0,0
372,27.0,95374.0,513.0,31975.0,3,8.0,0,1
373,45.0,143658.0,363.0,27708.0,16,5.0,0,0
374,47.0,43956.0,717.0,35269.0,14,2.0,0,0
375,57.0,33405.0,499.0,16529.0,23,2.0,0,0
376,22.0,165214.0,333.0,16295.0,1,2.0,1,1
377,30.0,167368.0,704.0,23854.0,24,13.0,1,1
378,62.0,68396.0,439.0,26560.0,13,10.0,1,0
379,53.0,32066.0,498.0,36324.0,9,6.0,0,1
380,58.0,42870.0,817.0,11829.0,2,12.0,0,0
381,34.0,190082.0,816.0,45749.0,11,7.0,1,0
382,52.0,65265.0,823.0,15053.0,22,14.0,1,1
383,47.0,57959.0,580.0,40426.0,10,9.0,0,1
384,23.0,168055.0,405.0,38318.0,9,1.0,1,0
385,52.0,37660.0,643.0,30925.0,13,9.0,1,1
386,39.0,97851.0,506.0,12532.0,2,3.0,1,0
387,43.0,39443.0,395.0,5167.0,6,6.0,1,1
388,23.0,88713.0,439.0,13927.0,26,10.0,1,0
389,48.0,197289.0,569.0,46538.0,24,6.0,0,0
390,41.0,132049.0,626.0,15000.0,19,2.0,1,1
391,32.0,166282.0,843.0,28200.0,25,5.0,0,0
392,45.0,68363.0,494.0,47451.0,12,4.0,1,0
393,43.0,63549.0,622.0,23273.0,10,6.0,0,1
394,,173993.0,594.0,,28,12.0,1,0
395,48.0,107145.0,359.0,9547.0,8,2.0,0,1
396,19.0,153336.0,714.0,8317.0,4,2.0,1,0
397,44.0,35171.0,732.0,21242.0,25,3.0,1,0
398,30.0,98625.0,698.0,47037.0,19,1.0,1,0
399,55.0,179538.0,446.0,48327.0,20,10.0,1,1
400,19.0,174143.0,765.0,18694.0,14,6.0,1,0
401,59.0,177773.0,334.0,5464.0,12,9.0,0,1
402,59.0,181503.0,597.0,38294.0,13,13.0,0,0
403,68.0,131671.0,713.0,16754.0,13,11.0,1,1
404,23.0,168765.0,708.0,28086.0,13,4.0,0,1
405,29.0,175991.0,623.0,40828.0,27,11.0,0,1
406,63.0,141870.0,585.0,36305.0,27,3.0,1,0
407,62.0,69099.0,573.0,48978.0,19,1.0,0,1
408,21.0,,833.0,28464.0,15,14.0,1,0
409,22.0,132534.0,382.0,8893.0,18,10.0,0,0
410,51.0,178162.0,670.0,19036.0,29,13.0,1,0
411,32.0,54111.0,394.0,5143.0,29,4.0,1,1
412,20.0,171753.0,660.0,24482.0,18,9.0,1,1
413,50.0,145421.0,369.0,37815.0,5,4.0,1,1
414,,182514.0,391.0,25354.0,14,14.0,1,0
415,66.0,167757.0,350.0,6920.0,6,10.0,0,0
416,31.0,179532.0,546.0,25998.0,16,9.0,1,1
417,45.0,99742.0,340.0,26184.0,16,3.0,1,0
418,58.0,82766.0,604.0,28301.0,13,1.0,0,0
419,57.0,180295.0,481.0,6402.0,9,2.0,1,0
420,41.0,77552.0,522.0,32612.0,10,3.0,1,1
421,52.0,55063.0,608.0,41821.0,11,7.0,1,0
422,62.0,133689.0,610.0,34555.0,13,11.0,0,0
423,62.0,44467.0,396.0,22697.0,29,9.0,1,0
424,62.0,93896.0,510.0,20973.0,7,9.0,1,1
425,36.0,61295.0,505.0,30084.0,22,9.0,1,0
426,60.0,53071.0,754.0,36611.0,12,9.0,0,1
427,32.0,64527.0,516.0,7719.0,8,11.0,0,1
428,32.0,42133.0,392.0,22543.0,16,9.0,1,0
429,60.0,121566.0,788.0,30245.0,6,1.0,1,0
430,,198775.0,603.0,11187.0,5,11.0,0,1
431,29.0,172120.0,690.0,11399.0,15,2.0,1,0
432,67.0,179157.0,574.0,11186.0,24,14.0,0,1
433,36.0,101362.0,676.0,31661.0,1,7.0,0,1
434,48.0,119316.0,610.0,19182.0,8,12.0,0,0
435,41.0,35106.0,428.0,30113.0,27,1.0,1,1
436,67.0,70948.0,811.0,16671.0,27,14.0,1,0
437,43.0,148868.0,456.0,41051.0,20,10.0,1,0
438,50.0,123672.0,789.0,43297.0,15,11.0,0,1
439,18.0,33790.0,514.0,24599.0,23,9.0,0,1
440,57.0,147002.0,824.0,31105.0,17,14.0,1,1
441,65.0,57047.0,534.0,20107.0,4,9.0,1,0
442,38.0,183499.0,709.0,17810.0,18,4.0,0,1
443,62.0,35527.0,723.0,28509.0,22,8.0,0,0
444,25.0,,427.0,41861.0,2,8.0,1,0
445,64.0,119924.0,756.0,41188.0,19,10.0,1,1
446,18.0,51597.0,446.0,42697.0,13,11.0,1,1
447,58.0,114372.0,661.0,24860.0,10,12.0,1,0
448,21.0,74147.0,457.0,18228.0,13,1.0,1,1
449,30.0,133641.0,787.0,40740.0,15,6.0,0,0
450,62.0,55646.0,483.0,46717.0,25,7.0,0,0
451,59.0,108394.0,480.0,13713.0,28,6.0,1,1
452,47.0,73311.0,703.0,17648.0,1,1.0,0,0
453,29.0,,391.0,20372.0,26,1.0,1,0
454,22.0,81898.0,826.0,7023.0,12,4.0,0,0
455,34.0,186231.0,467.0,,21,10.0,1,0
456,39.0,126227.0,315.0,17667.0,27,14.0,1,0
457,28.0,64224.0,586.0,32922.0,21,14.0,0,1
458,69.0,114431.0,,35215.0,16,14.0,1,0
459,64.0,51210.0,373.0,12843.0,23,7.0,0,0
460,69.0,57910.0,746.0,40339.0,19,3.0,1,1
461,29.0,44858.0,302.0,36670.0,2,9.0,0,0
462,26.0,95443.0,405.0,40915.0,7,2.0,1,1
463,37.0,174546.0,660.0,31600.0,20,14.0,0,1
464,66.0,114880.0,839.0,11489.0,5,11.0,1,1
465,38.0,199900.0,551.0,36755.0,8,8.0,0,1
466,36.0,160109.0,476.0,16023.0,17,4.0,1,0
467,44.0,109471.0,442.0,39163.0,29,2.0,1,1
468,54.0,80666.0,319.0,11138.0,18,3.0,0,0
